cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength,,w/c,f/c,age,concrete_compressive_strength
108.3,162.4,0,203.5,0,938.2,849,3,2.33,,0.54,0.56,7,27.8
122.6,183.9,0,203.5,0,958.2,800.1,3,3.32,,0.42,0.56,7,54.8
102,153,0,192,0,887,942,3,4.57,,0.31,0.67,7,41.1
153,102,0,192,0,888,943.1,3,4.78,,0.54,0.56,28,31.1
141.3,212,0,203.5,0,971.8,748.5,3,4.83,,0.42,0.56,28,58.9
183.9,122.6,0,203.5,0,959.2,800,3,4.90,,0.3,0.65,28,79.99
385,0,0,186,0,966,763,1,6.27,,0.3,0.64,28,61.89
116,173,0,192,0,909.8,891.9,3,6.28,,0.69,0.64,270,40.27
236,0,0,194,0,968,885,3,6.47,,0.69,0.64,365,41.05
212,141.3,0,203.5,0,973.4,750,3,6.81,,0.97,0.84,360,44.3
133,200,0,192,0,927.4,839.2,3,6.88,,0.86,0.72,90,47.03
166.8,250.2,0,203.5,0,975.6,692.6,3,6.90,,0.6,0.64,365,43.7
173,116,0,192,0,946.8,856.8,3,6.94,,0.6,0.64,28,36.45
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32,,0.86,0.72,28,45.85
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.40,,0.48,0.64,28,39.29
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.51,,0.97,0.84,90,38.07
102,153,0,192,0,887,942,7,7.68,,0.97,0.84,28,28.02
108.3,162.4,0,203.5,0,938.2,849,7,7.72,,0.53,0.64,270,43.01
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,,1.2,0.72,90,42.33
200,0,0,180,0,1125,845,7,7.84,,0.75,0.72,28,47.81
186.2,124.1,0,185.7,0,1083.4,764.3,7,8.00,,0.6,0.72,90,52.91
139.6,209.4,0,192,0,1047,806.9,3,8.06,,1.38,0.77,90,39.36
255,0,0,192,0,889.8,945,3,8.20,,0.67,0.72,365,56.14
153,102,0,192,0,888,943.1,7,8.37,,0.6,0.64,90,40.56
250,0,95.7,191.8,5.3,948.9,857.2,3,8.49,,0.48,0.64,180,42.62
158,0,195,220,11,898,713,28,8.54,,0.53,0.64,180,41.84
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54,,1.38,0.77,28,28.24
349,0,0,192,0,1056,809,7,9.01,,1.38,0.77,3,8.06
198.6,132.4,0,192,0,978.4,825.5,3,9.13,,1.38,0.77,180,44.21
254,0,0,198,0,968,863,3,9.31,,0.6,0.72,365,52.52
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45,,0.6,0.72,270,53.3
203.5,305.3,0,203.5,0,963.4,630,3,9.56,,0.6,0.64,270,41.15
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62,,0.67,0.72,180,52.12
157,236,0,192,0,935.4,781.2,3,9.69,,0.53,0.64,28,37.43
250.2,166.8,0,203.5,0,977.6,694.1,3,9.73,,0.48,0.64,7,38.6
155,0,143,193,9,877,868,28,9.74,,0.75,0.72,365,55.26
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74,,0.86,0.72,365,52.91
202,11,141,206,1.7,942,801,3,9.85,,0.97,0.84,180,41.72
310,0,0,192,0,971,850.6,3,9.87,,0.48,0.64,270,42.13
236,0,0,193,0,968,885,7,9.99,,1.2,0.72,365,53.69
230,0,118.3,195.5,4.6,1029.4,758.6,3,10.03,,0.96,0.64,270,38.41
116,173,0,192,0,909.8,891.9,7,10.09,,0.96,0.64,28,30.08
255,0,0,192,0,889.8,945,7,10.22,,0.69,0.64,90,37.72
238.1,0,0,185.7,0,1118.8,789.3,7,10.34,,0.48,0.64,90,42.23
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35,,0.96,0.64,180,36.25
233.8,0,94.6,197.9,4.6,947,852.2,3,10.38,,0.67,0.72,90,50.46
141.3,212,0,203.5,0,971.8,748.5,7,10.39,,0.53,0.64,365,43.7
145,0,179,202,8,824,869,28,10.54,,0.96,0.64,365,39
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54,,0.6,0.72,180,53.1
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73,,0.53,0.64,90,41.54
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76,,0.53,0.64,7,35.08
183.9,122.6,0,203.5,0,959.2,800,7,10.79,,0.55,0.77,3,15.05
225,0,0,181,0,1113,833,7,11.17,,0.6,0.64,180,40.76
277,0,0,191,0,968,856,3,11.36,,0.96,0.64,7,26.26
173,116,0,192,0,946.8,856.8,7,11.39,,0.6,0.64,7,32.82
200,133,0,192,0,965.4,806.2,3,11.41,,0.69,0.64,180,39.78
382,0,0,186,0,1111,784,7,11.47,,1.2,0.72,180,46.93
252,0,0,186,0,1111,784,7,11.47,,0.96,0.64,90,33.12
252.5,0,0,185.7,0,1111.6,784.3,7,11.48,,0.75,0.72,90,49.19
